timestamp,username,ip_address,event_type,status
2026-06-01T09:00:00Z,mward,10.30.4.11,login_attempt,SUCCESS
2026-09-14T09:15:00Z,mward,10.30.4.11,login_attempt,SUCCESS
2026-09-05T09:00:00Z,sylee,10.30.4.12,login_attempt,SUCCESS
2026-09-14T09:20:00Z,sylee,10.30.4.12,login_attempt,SUCCESS
2026-09-14T10:00:00Z,gpetrov,10.30.5.10,login_attempt,FAILED
2026-09-14T10:07:00Z,hnavarro,10.30.5.11,login_attempt,SUCCESS
2026-09-14T10:14:00Z,iokoro,10.30.5.12,login_attempt,SUCCESS
2026-09-14T10:21:00Z,jlindgren,10.30.5.13,login_attempt,SUCCESS
2026-09-14T10:28:00Z,kmoreau,10.30.5.14,login_attempt,FAILED
2026-09-14T10:35:00Z,lschultz,10.30.5.15,login_attempt,SUCCESS
2026-09-14T10:42:00Z,gpetrov,10.30.5.16,login_attempt,SUCCESS
2026-09-14T10:49:00Z,hnavarro,10.30.5.17,login_attempt,SUCCESS
2026-09-14T10:56:00Z,iokoro,10.30.5.18,login_attempt,FAILED
2026-09-14T11:03:00Z,jlindgren,10.30.5.19,login_attempt,SUCCESS
2026-09-14T11:10:00Z,kmoreau,10.30.5.20,login_attempt,SUCCESS
2026-09-14T11:17:00Z,lschultz,10.30.5.21,login_attempt,SUCCESS
2026-09-14T11:24:00Z,gpetrov,10.30.5.22,login_attempt,FAILED
2026-09-14T11:31:00Z,hnavarro,10.30.5.23,login_attempt,SUCCESS
2026-09-14T11:38:00Z,iokoro,10.30.5.24,login_attempt,SUCCESS
2026-09-14T11:45:00Z,jlindgren,10.30.5.25,login_attempt,SUCCESS
2026-09-14T11:52:00Z,kmoreau,10.30.5.26,login_attempt,FAILED
2026-09-14T11:59:00Z,lschultz,10.30.5.27,login_attempt,SUCCESS
2026-09-14T12:06:00Z,gpetrov,10.30.5.28,login_attempt,SUCCESS
2026-09-14T12:13:00Z,hnavarro,10.30.5.29,login_attempt,SUCCESS
2026-09-14T12:20:00Z,iokoro,10.30.5.30,login_attempt,FAILED
2026-09-14T12:27:00Z,jlindgren,10.30.5.31,login_attempt,SUCCESS
2026-09-14T12:34:00Z,kmoreau,10.30.5.32,login_attempt,SUCCESS
2026-09-14T12:41:00Z,lschultz,10.30.5.33,login_attempt,SUCCESS
2026-09-14T12:48:00Z,gpetrov,10.30.5.34,login_attempt,FAILED
2026-09-14T12:55:00Z,hnavarro,10.30.5.35,login_attempt,SUCCESS
2026-09-14T13:02:00Z,iokoro,10.30.5.36,login_attempt,SUCCESS
2026-09-14T13:09:00Z,jlindgren,10.30.5.37,login_attempt,SUCCESS
