timestamp,hostname,src_ip,dest_ip,dest_port,protocol,bytes_out,bytes_in,action
2026-09-14T00:02:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6787191,40000,allow
2026-09-14T00:15:00Z,fs-08,10.0.8.6,140.82.112.3,443,tcp,1825986,60000,allow
2026-09-14T00:33:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6332020,40000,allow
2026-09-14T00:45:00Z,fs-08,10.0.8.6,140.82.112.3,443,tcp,1353351,60000,allow
2026-09-14T00:58:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6793904,40000,allow
2026-09-14T01:15:00Z,fs-08,10.0.8.6,140.82.112.3,443,tcp,1045901,60000,allow
2026-09-14T01:18:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6834123,40000,allow
2026-09-14T01:32:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6997410,40000,allow
2026-09-14T01:35:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6818296,40000,allow
2026-09-14T01:45:00Z,fs-08,10.0.8.6,140.82.112.3,443,tcp,1476931,60000,allow
2026-09-14T02:15:00Z,fs-08,10.0.8.6,140.82.112.3,443,tcp,1909610,60000,allow
2026-09-14T02:16:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6771523,40000,allow
2026-09-14T02:17:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6710400,40000,allow
2026-09-14T02:45:00Z,fs-08,10.0.8.6,140.82.112.3,443,tcp,1629892,60000,allow
2026-09-14T02:49:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6551803,40000,allow
2026-09-14T03:10:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6881393,40000,allow
2026-09-14T03:12:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6304213,40000,allow
2026-09-14T03:15:00Z,fs-08,10.0.8.6,140.82.112.3,443,tcp,1996294,60000,allow
2026-09-14T03:16:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6767154,40000,allow
2026-09-14T03:45:00Z,fs-08,10.0.8.6,140.82.112.3,443,tcp,1506034,60000,allow
2026-09-14T04:20:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6319198,40000,allow
2026-09-14T04:24:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6423232,40000,allow
2026-09-14T04:38:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6384804,40000,allow
2026-09-14T05:00:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6907183,40000,allow
2026-09-14T05:10:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6503579,40000,allow
2026-09-14T05:40:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6381217,40000,allow
2026-09-14T06:07:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6673292,40000,allow
2026-09-14T06:13:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6693075,40000,allow
2026-09-14T06:41:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,6637121,40000,allow
2026-09-14T07:00:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,95000000,40000,allow
2026-09-14T07:08:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,95000000,40000,allow
2026-09-14T07:40:00Z,fs-07,10.0.8.5,52.95.110.1,443,tcp,95000000,40000,allow
